link,title,content
http://help.remotepass.com/en/articles/5123137-what-are-the-various-types-of-user-roles-available,What are the various types of user roles available?,"**What are the various types of user roles available?**

Learn about how to assign the appropriate roles to your team.

RemotePass provides four default role types (Admin, HR, Accountant, Manager) and also allows for the creation of custom roles with detailed permission settings. 

It's important to note that **Roles** and **Approvals** are managed independently. **Roles** determine the level of access permissions for users.

### Default roles

Users assigned to a default role will have access permissions specific to that role only.

#### Overview of Default Role Access Permissions

- **Admin:**
  - Has **full access** to the account.

- **HR:**
  - ✅ **Can**
    - **view & edit & create** contracts
    - **view & download** reports
    - **view & ±adjust** payments
    - **view** invoices and transactions.
  - ❌ **Cannot**
    - **view** **or** **edit** company settings (_Company info, Users & Roles, Approvals, Custom Fields, Integrations_)
    - **make** payments

- **Accountant:**
  - ✅ **Can**
    - **view** contracts, reporting, invoices
    - **view & make** payments
    - **view & revert** transactions
  - ❌ **Cannot**
    - **view** **or** **edit** company settings (_Company info, Users & Roles, Approvals, Custom Fields, Integrations_)
    - **create & edit** contract
    - **±adjust** payments

- **Manager:**
  - ✅ **Can**
    - **only** **view** contracts, payments, reports, and transactions of contracts they're assigned to as approvers.
  - ❌ **Cannot**
    - **view** **or** **edit** company settings (_Company info, Users & Roles, Approvals, Custom Fields, Integrations_)
    - **create & edit** contract
    - **±adjust & make** payments

### Custom roles

If the predefined default roles do not meet your requirements, you have the flexibility to create custom roles tailored to specific access permissions. Below are details on how to get started and an overview of the available access permissions:

#### How to create a custom role?
1. Go to **Company Settings** and select the **Users & Roles** tab.
2. Click on **Add New**.
3. Enter the role **Name** and **Description**.
4. Select if this role should access **all contracts** in the account or **just those assigned to it**.
5. Choose the **permissions** you want to grant to this role.
6. Click **Save.**"
http://help.remotepass.com/en/articles/5241263-how-to-add-equipment-for-your-contractor,How to add equipment for your contractor?,"As a client you have the ability to add equipment for your contractor once the contract is signed by both parties.

1. Go to the contract page and click on the **add equipment** button located below the contract timeline on the right side.
2. Enter the **equipment type** (phone, computer or other), its **value**, the equipment **model** (i.e. Macbook Air 2020) and **serial number,** then click **continue.**
3. The equipment agreement will be automatically generated for you. Enter your name then click **agree and sign** your agreement.

That's it! An email notification will be sent to notify your contractor to **review & sign** the equipment use agreement. You can access and download the equipment use agreement under the **equipment tab** in the contract page."
http://help.remotepass.com/en/articles/5094089-how-to-set-an-approver-for-expenses-time-off-and-work-submissions,"How to set an approver for expenses, time-off and work submissions?","How to set an approver for expenses, time-off and work submissions?

Learn how to assign a manager to approve expenses, time-off requests, and work submissions.

By default, the contract creator receives all requests for time off, expenses, and work submissions. You can, however, assign someone else to receive these requests and approve them as needed.

To assign an Approver:
1. Open **contract details** and select the **Settings** tab.
2. Under the **Approvals** section, select the user who should receive these requests.

💡 **Notes**
* When a request is approved, a user with an accountant's role receives a notification.
* Learn more about user role types [here](http://help.remotepass.com/en/articles/5123137-what-are-the-different-roles-types).
* Learn more about the **Multi-Level Approval flow** [here](https://help.remotepass.com/en/articles/8769367-how-to-set-up-multi-level-approval-flows).

Here is how it works:
![Animation](https://downloads.intercomcdn.com/i/o/929244918/3d4ca2caacc5bce600a3deda/Animation+2.gif?expires=1740492000&signature=a2b0730b83c18ae0ff912a5b02822b6bff9d29d319bb9f3d1366b6ce7eb9f549&req=fSIuFM16lIBXFb4f3HP0gIHVbemznW1VeQkP1fmKZ2bbRwfcqP96BG5cqXJi%0A8eVCBcfd%2Fc3%2Bby6Dmg%3D%3D%0A)"
http://help.remotepass.com/en/articles/5014219-how-to-change-the-contractor-label,How to change the Contractor label?,"**How to change the Contractor label?**

Learn how you can customize the contractor label to fit your needs.

You can change the label contractor and it will reflect on your contract details, contractor agreement, and on the contractor interface.

1. Create a **new** contract.
2. On the **Compliance** step, under the **Contractor Label** field, enter the label you wish to give to your contractor.

💡Tips:
- Most common labels: Consultant, Expert, Service provider.
- You can only change the contractor label for new & pending contracts.
- Do not use **Employee** as a label if you are using our contract template."
http://help.remotepass.com/en/articles/4756742-smart-contract-editor-to-edit-templates,Smart Contract Editor to edit templates,"**Smart Contract Editor to edit templates**

Learn how you can add, remove, modify our contract template using the contract editor.

With our Smart Contract Editor, you can easily customize contractor agreement templates to your needs to add, remove, sort or modify its content. Make use of the Dynamic Placeholders to include variable information about the contractor or the client.

Here is how it works:
Your saved contracts will also be available to reuse in your future contracts.

_💡 Please note that you can only edit a template if the contract has not been signed by both parties yet._"
http://help.remotepass.com/en/articles/4531446-edit-a-pending-contract,Edit a pending contract,"**Edit a pending contract**

Learn how to make edits to your contracts in a few clicks.

As a client, you have the ability to edit a contract and make changes.

**If the contract status is pending, follow the steps below to make changes:**

1. Go to the contract page and click on the **Edit Contract** button located below the contract timeline on the right side.
2. Click the '**Edit**' link on the section you want to edit, make your changes, click on **Save** and then ""**Apply Changes**"".

That's it! If the contractor has already signed, an email notification will be sent to notify them about the changes and they will be asked to re-sign."
http://help.remotepass.com/en/articles/4611435-amend-an-active-contract,Amend an active contract,"**Amend an active contract**

Learn how to amend an active contract in a few clicks.

As a client, you have the ability to amend an active contract.

1. Go to the contract page and click on the '**Amend**' button located below the contract timeline on the right side.
2. Click the blue '**Edit**' link on the section you want to amend, make your changes, click on **Save** and then ""**Apply Changes**"".

That's it! Now, both parties will need to re-sign the amendment. An email notification will be sent to notify the contractor about the changes and will be asked to re-sign.

**Cancel amendment**

You can cancel your amendments simply by clicking on ""**Cancel amendment**"", located below the contract timeline on the right side."
http://help.remotepass.com/en/articles/4361253-how-do-i-create-a-contract-using-a-remotepass-template,How do I create a contract using a RemotePass template?,"**How do I create a contract using a RemotePass template?**

You can use RemotePass's legally compliant contract template to onboard your contractor in a few steps:

On your Dashboard:
1. Click on **+Create contract**
2. Select **Contract type**, enter the **contract Title / Description,** and click next
3. Enter the **payment** schedule details and the **amount**, then click next
4. Select option “**Use RemotePass’s Template”,** enter a **notice period** (_default value 15 days_), and click on **confirm**

The contract is now created. The next step is to invite the contractor to review and sign it. Simply click on the button **Invite Contractor** and enter the contractor's email address. You will be notified by email when the contractor signs the contract."
http://help.remotepass.com/en/articles/7978768-how-to-add-an-annex-to-a-contract,How to add an Annex to a contract?,"**How to add an Annex to a contract?**

Learn how to attach extra an annex/exhibit to an agreement.

To attach an annex or multiple annexes to a contractor agreement, you can follow these steps:

If the contract status is **ongoing:**
1. Open the contract page and click on **Amend.**
2. Under the **Annexes** section, click on **Add Annex**.
3. **Upload the PDF** document and give it a name.
4. Click on **Apply changes**.
5. **Sign** the amendment, and the contractor will be invited to sign it as well.

If the contract status is **pending**:
1. Open the contract page and click on **Edit.**
2. Under the **Annexes** section, click on **Add Annex**.
3. **Upload the PDF** document and give it a name.
4. Click on **Apply changes**.
5. **Sign** the contract, and invite the contractor to sign it as well.

The uploaded Annex will automatically be attached to the initial agreement."
http://help.remotepass.com/en/articles/8405809-how-to-manage-time-off,How to manage Time Off?,"How to manage Time Off?
Learn how to manage time off requests as an admin or an approver.

As the _admin_ or an _approver_ assigned to a contract, you will receive a notification when your team member submits a time-off request. You can either click on the link provided in the email to review the request or log in to your account.

1. Open the contract details for the relevant team member and navigate to the **Time Off** tab.
2. Click on the **Review** option, and then decide whether to _approve or decline_ the time-off request. When you approve a time-off request, your team member will be instantly notified. If you choose to reject the request, you will need to provide a reason for the rejection.

💡 Learn how to assign a different **Approver** to a contract [here](https://help.remotepass.com/en/articles/5094089-how-to-set-an-approver-for-expenses-time-off-and-work-submissions%5C).

💡 Learn more about user **role types** [here](http://help.remotepass.com/en/articles/5123137-what-are-the-different-roles-types)."
http://help.remotepass.com/en/articles/8405797-how-to-add-company-logo-to-documents,How to add company logo to documents?,"How to add company logo to documents?

Learn how to customize your documents to align with your brand's visual identity.

Written by Sameer B.
Updated over a year ago.

Log in to your client account and navigate to the **Company Settings** page.

1. Activate the **Add logo to documents** toggle.
2. Upload your logo in _PNG or JPEG format_.
3. Crop any empty space around the logo for precise placement. Then, click on the **Preview** tab to visualize how the logo will appear on your documents.
4. Click **Save** to apply the changes.

_The logo will only be added to new contracts and contracts pending signature. Existing signed contracts will not be updated._"
http://help.remotepass.com/en/articles/9015015-how-to-create-and-manage-custom-fields,How to Create and Manage Custom Fields?,"**How to Create and Manage Custom Fields?**  
Learn how to streamline your contract management by using custom fields.

Custom Fields allow you to enhance workers' contract info by including specific details like _cost centers or team information_. Additionally, you can collect data from workers when they submit their _work or timesheets_ for approval. This information can then be easily exported with your reports for a seamless data management experience.

**How to Create a Custom Field?**  
To add a custom field, follow these steps:  
1. Navigate to **Company Settings**.  
2. Locate and select the **Custom Fields** tab.  
3. Click on **Add new**, provide the details for the new field, and select where you want the custom field to apply: either to **Contract Details** or to the **Timesheet/Work Submission** form.

**Application Areas**  
### **Contract Details Area:**  
* The custom field is _visible to the company but hidden from the worker_.  
* It's incorporated into the Contract Creation flow, and you can modify its value at any time via the contract settings tab.  

### **Timesheet/Work Submission:**  
* The field is accessible to _both the company and the worker_.  
* For _Pay As You Go or Milestone contracts_, workers will be prompted to provide information in this field upon submitting their work.  

### **Reports:**  
* You have the option to include custom fields in your reports. When exporting to Excel or PDF, simply select the fields you'd like to add, allowing for a more tailored and comprehensive reporting process.

**FAQs**  
**What types of custom fields can I create?**  
You have the choice among three types of custom fields: Text, Selection, and Date.

**Is it possible to include custom field inputs in my reports?**  
Yes, during the report export process, you will have the option to select which custom fields to incorporate into your report.

**How can I deactivate a custom field?**  
To disable a custom field, simply go to the **edit** option and turn off the **Visibility** toggle.

**Can I set a custom field as mandatory?**  
Absolutely, when setting up a new field, you have the option to make it required. This setting can be adjusted at any point.

**What impact do custom fields have on existing contracts?**  
Adding a custom field to the **Contract Details** Area automatically applies it to all existing contracts. You can then specify the field's value on the contract's settings page. For **Timesheet/Work Submission**, the newly added field will only apply to future work submissions.

**Is it possible to modify the value of custom fields?**  
* For Contract Details: Yes, changes can be made anytime via the contract's settings page.  
* For Timesheet/Work Submission: Yes, but only if the submission has not yet been approved."
http://help.remotepass.com/en/articles/9573740-default-time-off-time-off-policies,Default Time Off & Time Off Policies?,"**Default Time Off & Time Off Policies?**

When you create a new contract, the **Default Time Off policy** settings are applied. You can track _time off, review (approve/decline) requests, and decide if the time off is Paid or Unpaid._ Note that the Default Time Off policy operates on a **non-accrual** basis.

**How do Time Off policies work?**

Time off policies allow you to define different types of leave, including PTO, sick leave, bereavement leave, religious leave, and others, while also keeping track of each employee's time off usage. There are two types of Time off Policies:

### **Accrual Time Off Policy**
Accrual time off policies allow you to _track, review, and **accrue time off balances** over_ _time_, which is great for managing **_annual leave or paid time off_**. You can set parameters for when accruals begin, their frequency, carry-over rules, and establish guidelines for requests, including minimum and maximum time off periods, half-day requests, and waiting periods for new employees.

### **Non-Accrual Time Off Policy**
Non-accrual policies allow you to _track and review leaves simply_, which is great for managing leaves that do not require accrual, such as **_sick, parental, or bereavement leaves._**

**How to create a Custom Time Off Policy?**

To create a Time Off Policy **with Accruals**, follow these steps:

To create a Time Off Policy **without Accruals**, follow these steps:

**How to assign workers to a policy?**

There are two ways to assign a worker to a policy:

**Option 1: From the Policy Settings**

**Option 2: From the Worker Time Off Setting**

**Can I Revert to the Default Time Off Policy After Assigning a Worker to a Custom Policy?**
Yes, you have full control over your policies and can revert to the previous policy anytime. 

**How to unassign a policy?**

**How to change a policy?**

**How to Add/Deduct Time from a Time Off Balance for a Worker?**

**How to View Reports on Your Team's Time Off**
The reports page provides high-level analytics on time off usage and requests by status for different groups. For more detailed reports on **time off** **usage** by status or **accrued balances** over a specific period, follow these steps:

**What Happens to Accrued Time Off When a Different Accrual Policy is Applied?**
When assigning a new accrual policy, you will be prompted to select the accrual start date. Based on your selection, a simulation of the newly accrued time off will be displayed for your review before you confirm. Any time off accrued before the selected date will remain unchanged.

**Example:**
FAQs

**How are new contracts assigned time off policies?**
The **Default Time Off** policy is assigned to all new contracts, allowing you to track and approve/decline time off requests.

**When are vacation days credited—at the start or end of the accrual cycle?**
Vacation days are credited at the _end_ of the accrual cycle, with the exception of the **Yearly** frequency. For Yearly accruals, vacation days are credited _at the start_ of the year. For example, a vacation policy offering 22 days annually will credit the full 22 days to the worker’s balance at the beginning of the calendar year. During the first year of employment, the credited balance is prorated based on the start date.

**Can I offer extra vacation days based on years of service?**
Yes, for vacation type policies, you can add tenure rules during the Policy Details configuration step. These rules allow you to grant additional annual vacation days to workers based on their length of service.

**When are vacation days carried over?**
Either on the **first** **day** of the **calendar** year (e.g., **January** **1st**) or **12** **months** **after** the earning start date (e.g., if it starts on August 12, 2024, carryover occurs on August 11, 2025). This is **configurable** per policy.

**How can I ensure carried-over days are used first?**
By default, carried-over time off is used before the newly accrued days."
http://help.remotepass.com/en/articles/9892029-how-to-create-your-company-s-organization-chart,How to create your Company’s Organization chart,"**How to create your Company’s Organization chart**

_Check the sections below for detailed step-by-step instructions._

**Building your Organization chart**

To begin creating your organization chart, go to your **Contracts list** and open the **Org Chart feature**. You have **two view options** to choose from:

**Assigning Managers**

**Assigning Departments**

**Managing Your Organization Chart**

Keep your organization chart current by editing it and:

**FAQs**

**Can a worker report to more than one direct manager?**  
No, workers can only report to one direct manager.

**Can a worker be part of more than one Department?**  
No, each worker can only be part of one department at a time."
http://help.remotepass.com/en/articles/9965414-how-to-import-contracts-in-bulk,How to Import Contracts in Bulk?,"**How to Import Contracts in Bulk?**

Learn how to import multiple contracts.

**Updating the CSV File**

**Completing the Bulk Import**

**FAQ**

**Can I use our company agreement template?**
By default, your contracts are created with RemotePass’s template. And yes, you can upload it in the review mode from the detail view for each contract.

**What happens if I prefer not to invite workers upon the bulk import?**
You can choose to invite them later from the contract details page."
http://help.remotepass.com/en/articles/9789829-end-of-service-calculation-uae,End of Service Calculation - UAE,"**End of Service Calculation - UAE**

When ending a Direct Employee contract in the UAE, employees are eligible for end of service benefits. The amount depends on several criteria. Upon contract termination, the compensation calculation includes the following components:

1. **Last Month’s Salary**  
   Calculated as: Daily wage * Days worked in the final month

2. **Gratuity compensation**  
   Applies only to non-GCC nationals or employees not receiving DEWS contributions.

   **For Limited term contracts:**
   - **Tenure (years)** | **Gratuity**
     - Less than 1 year | No gratuity entitlement
     - 1 to 5 years | 21 days' basic pay per year of service
     - More than 5 years | 30 days' basic pay per year of service (for each year beyond 5 years)

   **For Unlimited term contracts:**
   - **Tenure (years)** | **Gratuity**
     - Less than 1 year | No gratuity entitlement
     - 1 to 3 years | 1/3 of 21 days' basic pay per year of service.
     - More than 3 years to 5 years | 2/3 of 21 days' basic pay per year of service
     - More than 5 years | 30 days' basic pay per year of service (for each year beyond 5 years)

3. **Vacation Leave compensation**  
   Calculated as: Daily wage * Unused vacation days."
http://help.remotepass.com/en/articles/10494388-how-to-onboard-direct-employees-in-the-uae,How to onboard Direct Employees in the UAE?,"**How to onboard Direct Employees in the UAE?**

Follow the next steps to onboard Direct employees in the UAE, from contract creation to signing.

**Creating a Contract**

Follow these steps to create a contract for a Direct Employee:

1. In the **Payment** step, enter the base salary and allowances, and select the first payroll date and salary amount.
2. Upload the contract document and set the **Probation** and **Notice** periods.
3. Click **Create** to finalize the contract.

**Inviting the Employee and Signing**

To complete the onboarding, follow these steps:

1. The employee will receive the invitation email and click the link to sign up for RemotePass.
2. The employee completes the required **Profile Settings**.
3. They then verify their identity (KYC) and enter their **bank account** for payment.
4. The employee is now fully onboarded into RemotePass."
http://help.remotepass.com/en/articles/8531916-how-to-adjust-payroll-addition-or-deduction-for-an-eor-contract,How to adjust payroll (addition or deduction) for an EOR contract?,"How to adjust payroll (addition or deduction) for an EOR contract?

Learn how you can quickly adjust payments for EOR contracts.

1. Open the contract and navigate to the **Adjustments** tab.
2. Click the **Adjust+-** button.
3. Select the adjustment _type, the reason, the sub-type, the effective date, and the amount, add any relevant notes_, and confirm by clicking **Adjust**.

Upon submitting your adjustment, the RemotePass team will be alerted to _review and approve_ your request. Once approved, the status will change to **Approved** and you will be notified by email.

_⚠️ Adjustments must be entered as **gross amounts**. Contributions and tax burdens will be levied on the month’s total compensation._"
http://help.remotepass.com/en/articles/8532029-how-to-amend-a-job-title-or-salary-for-an-eor-contract,How to Amend a Job title or Salary for an EOR Contract?,"**How to Amend a Job title or Salary for an EOR Contract?**

Learn how to amend an active EOR contract in a few clicks.

1. Open your contract and click on the **Amend** button situated below the contract timeline on the right.
2. Click the blue **Edit** link for the section you wish to modify (Salary or Job Title).
3. Make the necessary adjustments, then click **Save** followed by **Apply Changes.**

Upon applying the changes, the RemotePass team will be alerted to review and approve your amendment. When approved, you will be notified to review and sign the Statement of Work containing your amendments.

⚠️ The effective date is set **only after the client signs** the new Statement of Work (SOW).  
_For instance, should you submit the amendment request on the 5th of the month, prior to the cutoff date, and subsequently sign SOW on the 24th (past cutoff date), the effective date will be set as the 1st of the following month._"
http://help.remotepass.com/en/articles/5646162-how-to-onboard-full-time-eor-employees,How to onboard full-time (EOR) employees?,"We have simplified the onboarding process for **full-time employees** to make it a click-through experience on RemotePass.

**Steps to onboard a new employee**

**Step 1. Submit a full-time employment request**
-------------------------------------------------
The first step is to submit employment details on RemotePass. Simply follow the below steps to submit your request:

**Step 2. Approve the quotation & Sign the Statement of Work (SOW)**
--------------------------------------------------------------------
Within 24 hours, you'll receive an email notification to **review** the detailed quotation and the **statement of work** on RemotePass. If everything looks good, proceed with the signature of **the Statement of Work (SOW) on RemotePass.** Below is a step-by-step guide to help you out:

**Step 3. Process the deposit payment**
---------------------------------------
After signing the SOW, you will be prompted to process the payment of the **refundable deposit** using your preferred payment method. Or, go to the **payments tab** >> click on **pay** and follow the guided steps to complete your transaction.

**Step 4. Onboard the employee**
--------------------------------
Once the transaction is confirmed, RemotePass will invite the employee to **Review and Sign** their employment contract and access the platform. All done!"
http://help.remotepass.com/en/articles/8579418-how-to-terminate-an-eor-employee,How to terminate an EOR Employee?,"Title: How to terminate an EOR Employee? | RemotePass Help Center

Termination during the probation period
---------------------------------------
In most jurisdictions, the employer and the employee have the right to end the employment contract during the probationary period by giving a notice of termination or resignation. The required length of this notice varies according to the employment laws of the country in question. Should the client decide to discontinue the employment agreement during the probationary stage, the client must submit a termination request through the RemotePass platform. RemotePass will evaluate the request and advise on the next steps upon submission.

Termination after the probation period
--------------------------------------
After the probation period, the employment relationship can be terminated in four ways:

What are the best practices for handling terminations
-----------------------------------------------------
Terminations are legally complex and vary by location. Improper handling can lead to legal claims from terminated employees. RemotePass manages terminations on a case-by-case basis. RemotePass consistently advises an amicable termination strategy to minimize the risk of costly lawsuits and legal claims. This involves providing severance payments following local labor laws, additional payments based on local best practices (if applicable), and obtaining signed waivers to safeguard against potential legal and reputational issues for all parties involved.

Communication with the employee
-------------------------------
How to initiate a termination request
-------------------------------------
To ensure complete adherence to local labor regulations, RemotePass must assume primary responsibility for all communication with employees regarding terminations. Follow the steps in this guide to Request a Termination of an EOR contract."
